Date : 2023-01-21 11:36:14
Directory : /home/amit/buffer-ui
Total : 821 files,  77642 codes, 3788 comments, 3115 blanks, all 84545 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         40 |     38,123 |          0 |         49 |     38,172 |
| TypeScript React   |        309 |     21,464 |      1,712 |      1,549 |     24,725 |
| TypeScript         |        181 |     13,474 |      1,128 |      1,013 |     15,615 |
| CSS                |        142 |      2,463 |        218 |        437 |      3,118 |
| JavaScript         |         97 |      1,878 |        696 |         28 |      2,602 |
| XML                |         16 |        118 |          0 |         13 |        131 |
| HTML               |         31 |         45 |          0 |          1 |         46 |
| Markdown           |          2 |         30 |          0 |         21 |         51 |
| JSON with Comments |          2 |         29 |         34 |          1 |         64 |
| JavaScript React   |          1 |         18 |          0 |          3 |         21 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        821 |     77,642 |      3,788 |      3,115 |     84,545 |
| . (Files)                                                                                                                 |         12 |     17,928 |        310 |        446 |     18,684 |
| config                                                                                                                    |          3 |        520 |        128 |         33 |        681 |
| public                                                                                                                    |        319 |      5,894 |      1,009 |        336 |      7,239 |
| public (Files)                                                                                                            |          3 |         25 |          0 |          3 |         28 |
| public/ComponentSVGS                                                                                                      |          8 |        169 |          0 |         22 |        191 |
| public/LeaderBoard                                                                                                        |          3 |         70 |          1 |         10 |         81 |
| public/Social                                                                                                             |         17 |        214 |          0 |         40 |        254 |
| public/Social (Files)                                                                                                     |          8 |         92 |          0 |         18 |        110 |
| public/Social/Blue                                                                                                        |          3 |         35 |          0 |          3 |         38 |
| public/Social/DD                                                                                                          |          6 |         87 |          0 |         19 |        106 |
| public/shareModal                                                                                                         |          1 |         19 |          0 |          3 |         22 |
| public/static                                                                                                             |        281 |      5,357 |      1,008 |        253 |      6,618 |
| public/static/charting_library                                                                                            |        256 |      3,583 |        961 |         15 |      4,559 |
| public/static/charting_library (Files)                                                                                    |         37 |      2,505 |        348 |         13 |      2,866 |
| public/static/charting_library/bundles                                                                                    |        219 |      1,078 |        613 |          2 |      1,693 |
| public/static/datafeeds                                                                                                   |         25 |      1,774 |         47 |        238 |      2,059 |
| public/static/datafeeds (Files)                                                                                           |          1 |          2 |          0 |          2 |          4 |
| public/static/datafeeds/udf                                                                                               |         24 |      1,772 |         47 |        236 |      2,055 |
| public/static/datafeeds/udf (Files)                                                                                       |          4 |         91 |          1 |         25 |        117 |
| public/static/datafeeds/udf/lib                                                                                           |         10 |        719 |         19 |         10 |        748 |
| public/static/datafeeds/udf/src                                                                                           |         10 |        962 |         27 |        201 |      1,190 |
| public/wallets                                                                                                            |          6 |         40 |          0 |          5 |         45 |
| src                                                                                                                       |        487 |     53,300 |      2,341 |      2,300 |     57,941 |
| src (Files)                                                                                                               |          5 |        171 |          1 |         15 |        187 |
| src/ABIs                                                                                                                  |         12 |      7,628 |          0 |         21 |      7,649 |
| src/Config                                                                                                                |          5 |        330 |         22 |         25 |        377 |
| src/Hooks                                                                                                                 |         21 |      1,049 |         79 |        123 |      1,251 |
| src/Hooks (Files)                                                                                                         |         10 |        704 |         49 |         71 |        824 |
| src/Hooks/Contracts                                                                                                       |          2 |         91 |         26 |         11 |        128 |
| src/Hooks/Utilities                                                                                                       |          9 |        254 |          4 |         41 |        299 |
| src/Interfaces                                                                                                            |          1 |         21 |          0 |          1 |         22 |
| src/Providers                                                                                                             |          4 |        248 |          7 |         19 |        274 |
| src/SVG                                                                                                                   |         60 |      1,521 |          3 |        178 |      1,702 |
| src/SVG (Files)                                                                                                           |          2 |         43 |          0 |          6 |         49 |
| src/SVG/Elements                                                                                                          |         41 |      1,002 |          3 |        119 |      1,124 |
| src/SVG/SidebarIcons                                                                                                      |         11 |        398 |          0 |         35 |        433 |
| src/SVG/buttons                                                                                                           |          6 |         78 |          0 |         18 |         96 |
| src/TradingView                                                                                                           |          4 |      3,378 |        546 |         64 |      3,988 |
| src/Utils                                                                                                                 |         59 |      2,236 |        186 |        210 |      2,632 |
| src/Utils (Files)                                                                                                         |         25 |        831 |         78 |         87 |        996 |
| src/Utils/Contract                                                                                                        |          5 |        353 |          7 |         17 |        377 |
| src/Utils/Dates                                                                                                           |          1 |         73 |          0 |          8 |         81 |
| src/Utils/Formulas                                                                                                        |          1 |         29 |          9 |          4 |         42 |
| src/Utils/JSUtils                                                                                                         |          2 |         10 |          0 |          3 |         13 |
| src/Utils/NumString                                                                                                       |          9 |        400 |         48 |         32 |        480 |
| src/Utils/Staking                                                                                                         |          1 |         62 |          8 |          6 |         76 |
| src/Utils/apis                                                                                                            |          4 |        199 |          2 |         13 |        214 |
| src/Utils/appControls                                                                                                     |         10 |        201 |         21 |         34 |        256 |
| src/Utils/web3react                                                                                                       |          1 |         78 |         13 |          6 |         97 |
| src/Views                                                                                                                 |        288 |     35,687 |      1,484 |      1,546 |     38,717 |
| src/Views/BinaryOptions                                                                                                   |         70 |     12,943 |        433 |        501 |     13,877 |
| src/Views/BinaryOptions (Files)                                                                                           |         10 |      1,759 |         32 |         70 |      1,861 |
| src/Views/BinaryOptions/ABI                                                                                               |          7 |      2,881 |          0 |          4 |      2,885 |
| src/Views/BinaryOptions/Components                                                                                        |          9 |      1,224 |         59 |         68 |      1,351 |
| src/Views/BinaryOptions/Components (Files)                                                                                |          5 |        788 |         53 |         43 |        884 |
| src/Views/BinaryOptions/Components/Mobile                                                                                 |          4 |        436 |          6 |         25 |        467 |
| src/Views/BinaryOptions/Favourites                                                                                        |          9 |        729 |         27 |         42 |        798 |
| src/Views/BinaryOptions/Favourites (Files)                                                                                |          6 |        671 |         26 |         35 |        732 |
| src/Views/BinaryOptions/Favourites/Utils                                                                                  |          3 |         58 |          1 |          7 |         66 |
| src/Views/BinaryOptions/Hooks                                                                                             |         13 |      3,022 |        109 |        105 |      3,236 |
| src/Views/BinaryOptions/OrderBookComponents                                                                               |          4 |        598 |         16 |         45 |        659 |
| src/Views/BinaryOptions/OrderBookComponents/BuyModal                                                                      |          2 |        514 |         13 |         39 |        566 |
| src/Views/BinaryOptions/OrderBookComponents/GraphModal                                                                    |          2 |         84 |          3 |          6 |         93 |
| src/Views/BinaryOptions/PGDrawer                                                                                          |         11 |      1,349 |         88 |         77 |      1,514 |
| src/Views/BinaryOptions/Tables                                                                                            |          7 |      1,381 |        102 |         90 |      1,573 |
| src/Views/BinaryOptions/Tables (Files)                                                                                    |          5 |      1,063 |         48 |         68 |      1,179 |
| src/Views/BinaryOptions/Tables/OrderBookTable                                                                             |          2 |        318 |         54 |         22 |        394 |
| src/Views/Common                                                                                                          |        147 |      8,862 |        425 |        658 |      9,945 |
| src/Views/Common (Files)                                                                                                  |          8 |        357 |          4 |         28 |        389 |
| src/Views/Common/AccountInfo                                                                                              |          2 |         95 |          3 |         10 |        108 |
| src/Views/Common/Aligner                                                                                                  |          2 |         99 |          1 |          6 |        106 |
| src/Views/Common/AreaChart                                                                                                |          2 |        307 |         22 |          9 |        338 |
| src/Views/Common/AssetInfo                                                                                                |          2 |        279 |         27 |         11 |        317 |
| src/Views/Common/Banner                                                                                                   |          2 |        107 |          0 |         12 |        119 |
| src/Views/Common/Buffer-Dropdown                                                                                          |          2 |        199 |          4 |          6 |        209 |
| src/Views/Common/BufferCheckbox                                                                                           |          2 |         93 |         10 |          7 |        110 |
| src/Views/Common/BufferDisclaimer                                                                                         |          2 |         61 |          1 |          7 |         69 |
| src/Views/Common/BufferDropdown                                                                                           |          2 |        206 |          9 |         15 |        230 |
| src/Views/Common/BufferInput                                                                                              |          1 |        155 |          1 |          8 |        164 |
| src/Views/Common/BufferProgressBar.tsx                                                                                    |          1 |         31 |          0 |          4 |         35 |
| src/Views/Common/BufferSlider                                                                                             |          2 |        131 |          2 |         10 |        143 |
| src/Views/Common/BufferSwitch                                                                                             |          2 |        117 |          0 |         18 |        135 |
| src/Views/Common/BufferSwitchLabelled                                                                                     |          1 |         30 |          1 |          4 |         35 |
| src/Views/Common/BufferTab                                                                                                |          2 |        110 |         41 |          9 |        160 |
| src/Views/Common/BufferTable                                                                                              |          7 |        618 |          2 |         37 |        657 |
| src/Views/Common/BufferTable (Files)                                                                                      |          3 |        495 |          1 |         24 |        520 |
| src/Views/Common/BufferTable/ErrorMsg                                                                                     |          2 |         67 |          0 |          6 |         73 |
| src/Views/Common/BufferTable/TableAssetCell                                                                               |          2 |         56 |          1 |          7 |         64 |
| src/Views/Common/BufferTableCard                                                                                          |          2 |         98 |         15 |         13 |        126 |
| src/Views/Common/BufferTextInputRoot                                                                                      |          2 |        158 |          4 |          8 |        170 |
| src/Views/Common/BufferThemeSwitcher                                                                                      |          2 |        164 |          2 |          8 |        174 |
| src/Views/Common/BufferToggleButton                                                                                       |          2 |         83 |          4 |          4 |         91 |
| src/Views/Common/ButtonLoader                                                                                             |          1 |         13 |          0 |          3 |         16 |
| src/Views/Common/Buttons                                                                                                  |          2 |        128 |         11 |         11 |        150 |
| src/Views/Common/Card                                                                                                     |          2 |         17 |          0 |          6 |         23 |
| src/Views/Common/ChainAccountDropdowns                                                                                    |          2 |        208 |         42 |         15 |        265 |
| src/Views/Common/Chips                                                                                                    |          2 |         22 |          0 |          6 |         28 |
| src/Views/Common/ClientOnlyPortal                                                                                         |          2 |         21 |          1 |          7 |         29 |
| src/Views/Common/ConfirmationModal                                                                                        |          2 |        267 |         14 |         11 |        292 |
| src/Views/Common/ConnectionDrawer                                                                                         |          2 |        169 |          8 |         14 |        191 |
| src/Views/Common/Dialog                                                                                                   |          1 |         75 |          4 |         11 |         90 |
| src/Views/Common/Disclaimer                                                                                               |          2 |         25 |          0 |          6 |         31 |
| src/Views/Common/DraggableModal                                                                                           |          2 |         71 |          1 |         11 |         83 |
| src/Views/Common/Dropdown                                                                                                 |          2 |        385 |         43 |         17 |        445 |
| src/Views/Common/GraphView                                                                                                |          5 |        399 |          0 |          8 |        407 |
| src/Views/Common/HeroCard                                                                                                 |          2 |         62 |         21 |          8 |         91 |
